대학명,캠퍼스,계열,추천전형,전형명,전형명_key,전형구분,모집단위,모집인원,2024_모집인원,D-2(2024),D-1(2024),D-0오전(2024),D-0오후(2024),최종(2024),3개년평균,경쟁률_0910_1100,경쟁률_0910_1500,지원인원_0910_1100,지원인원_0910_1500
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,정보통신전자공학부,14,12,2,4.25,7.17,0,10.58,10.58,0.86,0.86,12,12
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,정보통신전자공학부,11,9,3.11,5.22,10.78,0,14.11,16.43,0.09,0.27,1,3
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,중국언어문화학과,9,6,4.83,7.83,11.67,0,15.33,15.33,1.56,2,14,18
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,중국언어문화학과,7,5,2.4,4.6,6.6,0,12,15.44,0,0,0,0
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,철학과,7,5,3.4,4.6,8.6,0,12.2,12.2,1.71,2.43,12,17
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,철학과,7,4,2.75,5,8.25,0,11,12.07,0.29,0.29,2,2
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,컴퓨터정보공학부,14,12,4.08,7.25,12.92,0,17.75,17.75,2.64,2.79,37,39
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,컴퓨터정보공학부,10,8,1.25,2.25,5.38,0,6.75,10.64,0.7,0.8,7,8
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,특수교육과,6,5,1.6,3.6,5.2,0,6,6.6,0.33,0.5,2,3
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,프랑스어문화학과,8,10,5.8,8.9,13.6,0,17.5,17.5,1.75,2.38,14,19
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,프랑스어문화학과,6,6,1.83,4.33,8.33,0,12.33,14.64,0.33,0.33,2,2
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,행정학과,7,4,2.25,4.25,9.5,0,11.25,11.25,1.43,1.57,10,11
